Country_Code,Country_Namr,Long_Name,Table_Name,Literacy.PC1,Hi.Degree.PC1,Hi.Degree.PC2,Hi.Degree.PC3,Hi.Degree.PC4,Schl.Yrs.PC1,Schl.Yrs.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,SE_XPD_TOTL_GD_ZS,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,TM_TAX_MANF_SM_FN_ZS,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,Cluster
ARG,Argentina,Argentine Republic,Argentina,61.8770365544444,-8.61725575665618e-02,1.11208569872403,1.77499905232744,0.176069178749145,2.77086317761177,-0.770103947948308,99.8,16.7,59.44995441,92,18.2,137.4,3.828925581,5.3441,55.90000153,40,19540451,15.31,14.09969,8.02675,16.77677,1
BOL,Bolivia,Plurinational State of Bolivia,Bolivia,58.6006774563339,0.213948053017777,-0.126299686707221,-0.507314419418238,6.57341309349076e-03,-1.04154571665363,1.01120548925349,90.5,43.5,34.711929,42,22.3,83.7,2.078424962,7.03755,70.59999847,38.09999847,5145858,11.65,16.53544,19.4118,22.47714,1
BRA,Brazil,Federative Republic of Brazil,Brazil,54.7014403187182,-0.285004190976143,0.813546465820705,1.23718937444841,-7.15169494420354e-02,-0.745792609998214,0.356691369787655,99.5,22.3,129.2533223,43.6,13.1,69.2,2.705457549,5.91432,65,36,109842906,15.23,18.45293,15.73995,19.93826,1
BWA,Botswana,Republic of Botswana,Botswana,48.4348350674713,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,0.82709294205109,2.06210785589108,53.24,59.2,30.28354068,77,21.3,25.1,2.715542638,9.63293,62.79999924,17.5,1155963,8.08,0,0,18.63335,1
CHN,China,"People's Republic of China",China,60.2741390284336,2.76779752923313e-02,0.99933888346458,2.60814962866834,0.150534168153018,-1.20912179097266,0.826530187438297,100,25.2,55.03088811,143.2,53.4,67.8,4.548804854,1.89593,68,0,806498521,9.02,13.42238,17.50026,19.48791,1
COL,Colombia,Republic of Colombia,Colombia,56.9461336098851,0.467469363525323,0.161259185579567,0.676009742878897,-1.0582281400228,1.08301047241585,1.07521326345711,97,13.1,40.56807911,102,20.8,69.7,3.64999392,4.6708,60.70000076,42.59999847,24290685,4.87,26.27563,21.90267,17.35012,1
CRI,Costa Rica,Republic of Costa Rica,Costa Rica,61.499300710039,0.219589824814376,1.43062906682577,0.777053785060996,0.430051606152228,0.113379911075826,-0.302369391524537,99.5,5.5,77.11152043,45,13.3,58,3.137591084,4.89459,57.79999924,21.79999924,2316957,4.57,14.40018,14.28597,11.86698,1
DOM,Dominican Republic,Dominican Republic,Dominican Republic,52.5466121417857,-0.503800949219926,0.617970398026195,0.737931364719922,-0.206359348093337,-0.557290600249504,0.375153173877205,98,12.1,33.40007477,82,11.8,42.4,4.518985402,2.05124,55.09999847,34.20000076,4710194,6.22,24.46519,19.85137,26.20872,1
DZA,Algeria,"People's Democratic Republic of Algeria",Algeria,35.5004175573389,-2.09163547993488,1.83015171198843e-02,1.28601604932939,0.322627497250366,-4.1157139324727,1.74541913500251,100,11.8,7.288244392,180,5,72.7,2.988973396,4.33702,40,21.5,12355028,18.2,17.80495,16.15822,23.77774,1
ECU,Ecuador,Republic of Ecuador,Ecuador,56.8786044310061,-4.97516763798027e-02,0.542284171142535,1.35562437019381,0.814392093167227,-1.28208305161397,0.384197799743285,97.2,36,40.57754557,74,9.7,33,4.839285851,4.18002,65.59999847,29,7720071,9.27,15.13735,26.23663,14.54677,1
EGY,"Egypt, Arab Rep.",Arab Republic of Egypt,"Egypt, Arab Rep.",26.6560405338229,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-3.34923837699623,1.59052732165587,100,10.6,12.66749196,64,8.6,45,4.327892739,3.76083,42.79999924,37.5,29596846,10.04,16.76445,8.82194,25.09249,1
FJI,Fiji,Republic of Fiji,Fiji,-179.861720541374,1.79500557481591e-02,1.22824821405579,0.977839448898601,0.260806577085449,2.66639947266558,1.35221325012104,59.32891,0,44.49419913,81,22.8,31.1,0,4.22044,50.59999847,0,347161,9.9,26.24225,13.34818,28.54874,1
GAB,Gabon,Gabonese Republic,Gabon,31.2180836557389,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-0.42627935074729,1.91898157939766,89.3,37,14.3905458,148,18.6,45.7,3.174314548,3.82709,49,0,645573,17.27,0,0,12.77436,1
