Store,Address,City,State,Zip,Type,Grand_Total_Sales_Per_Store_Year,Percent_Dry_Grocery,Percent_Dairy,Percent_Frozen_Food,Percent_Meat,Percent_Produce,Percent_Floral,Percent_Deli,Percent_Bakery,Percent_General_Merchandise,Cluster
S0001,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,23508945.82,0.461347256191005,0.103083711135117,7.71992455083212e-02,0.107677407544427,9.71710393775539,6.76943284562813e-03,4.35499280928625e-02,3.55438762077167e-02,6.76581030973681e-02,3
S0002,12419 Woodside Ave,Lakeside,CA,92040,Existing,17334619.57,0.457527949083223,0.106387614827823,7.88409295330154e-02,0.114903453863337,10.1259398448973,7.43805882092398e-03,3.97924175500092e-02,2.97015275080537e-02,6.41486503646414e-02,3
S0003,1342 N Alvarado St,Los Angeles,CA,90026,Existing,30240661.99,0.421349090976034,0.102356277155029,6.90274951881105e-02,0.114712737477345,12.5398810093972,9.63139266251227e-03,4.17608010835744e-02,3.6108020398531e-02,7.96553749648918e-02,2
S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing,27913890.97,0.454559842754878,9.71110184142128e-02,8.02771438209139e-02,0.127727655160358,10.0409215003823,6.11962840234595e-03,4.1785244889491e-02,3.44687102573433e-02,5.75415412966342e-02,3
S0005,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing,27825886.17,0.44016875132642,0.106268088711872,8.63385221704154e-02,0.101863261521421,13.1112051480084,8.87725043115851e-03,3.53892143446514e-02,2.26068609695603e-02,6.73759990444179e-02,2
S0006,9643 Mission Gorge Rd,Santee,CA,92071,Existing,34625420.87,0.459835154055703,9.86092204573975e-02,7.44431349925711e-02,0.106915913135008,10.1782028967436,8.26503917669203e-03,4.63088698912904e-02,3.54168899377193e-02,6.84237493861833e-02,3
S0007,820 Arneill Rd,Camarillo,CA,93010,Existing,30863087.31,0.44208679782917,0.1021349578005,8.91698520746595e-02,0.11513459312441,10.344684308253,7.8383337859274e-03,4.62976589363121e-02,3.0176372202992e-02,6.37145911634982e-02,3
S0008,3461 W 3rd St,Los Angeles,CA,90020,Existing,29181879.77,0.428456854340607,0.108732133262435,8.03214638150091e-02,0.106877729076464,12.3696355013802,7.85879599969306e-03,3.26226575362249e-02,2.23977415146482e-02,8.90362694411168e-02,2
S0009,4033 W Avenue L,Lancaster,CA,93536,Existing,40678620.31,0.442252268953612,0.100376118680609,7.70513630038108e-02,0.118908012197526,10.3507489386628,7.28825603574164e-03,4.42039365223496e-02,2.57563410955321e-02,8.06562141241903e-02,3
S0010,1040 Coast Village Rd,Montecito,CA,93108,Existing,21703928.12,0.431445351653699,0.114961550563779,8.03417423039273e-02,0.1071483008579,12.1628835822001,1.03830223153172e-02,3.70989502705744e-02,3.80513668048399e-02,5.89408794079622e-02,2
